  x             y         z
  -7.070  0.1692E-82  0.1000E+03
  -7.040  0.1692E-82  0.1000E+03
  -7.010  0.1692E-82  0.1000E+03
  -6.980  0.1692E-82  0.1000E+03
  -6.950  0.1692E-82  0.1000E+03
  -6.920  0.1692E-82  0.1000E+03
  -6.890  0.1692E-82  0.1000E+03
  -6.860  0.1692E-82  0.1000E+03
  -6.830  0.1692E-82  0.1000E+03
  -6.800  0.1692E-82  0.1000E+03
  -6.770  0.1692E-82  0.1000E+03
  -6.740  0.1692E-82  0.1000E+03
  -6.710  0.1692E-82  0.1000E+03
  -6.680  0.1692E-82  0.1000E+03
  -6.650  0.1692E-82  0.1000E+03
  -6.620  0.2957E-82  0.1000E+03
  -6.590  0.5873E-71  0.1000E+03
  -6.560  0.3685E-60  0.1000E+03
  -6.530  0.3135E-50  0.1000E+03
  -6.500  0.3615E-41  0.1000E+03
  -6.470  0.5653E-33  0.1000E+03
  -6.440  0.1199E-25  0.1000E+03
  -6.410  0.3446E-19  0.1000E+03
  -6.380  0.1343E-13  0.1000E+03
  -6.350  0.7097E-09  0.1000E+03
  -6.320  0.5085E-05  0.1000E+03
  -6.290  0.4939E-02  0.1000E+03
  -6.260  0.6504E+00  0.1000E+03
  -6.230  0.1161E+02  0.1004E+03
  -6.200  0.2810E+02  0.1012E+03
  -6.170  0.9220E+01  0.1015E+03
  -6.140  0.4100E+00  0.1015E+03
  -6.110  0.2491E-02  0.1015E+03
  -6.080  0.1653E-01  0.1015E+03
  -6.050  0.1951E+01  0.1016E+03
  -6.020  0.3457E+02  0.1026E+03
  -5.990  0.1042E+03  0.1057E+03
  -5.960  0.6416E+02  0.1076E+03
  -5.930  0.1283E+02  0.1080E+03
  -5.900  0.2688E+02  0.1088E+03
  -5.870  0.5553E+02  0.1105E+03
  -5.840  0.1700E+02  0.1110E+03
  -5.810  0.2179E+02  0.1117E+03
  -5.780  0.5641E+02  0.1134E+03
  -5.750  0.2162E+02  0.1140E+03
  -5.720  0.1686E+02  0.1145E+03
  -5.690  0.3097E+02  0.1154E+03
  -5.660  0.3068E+02  0.1164E+03
  -5.630  0.1946E+02  0.1169E+03
  -5.600  0.1175E+02  0.1173E+03
  -5.570  0.6582E+02  0.1193E+03
  -5.540  0.1104E+03  0.1226E+03
  -5.510  0.1144E+03  0.1260E+03
  -5.480  0.2035E+03  0.1321E+03
  -5.450  0.1214E+03  0.1358E+03
  -5.420  0.3057E+02  0.1367E+03
  -5.390  0.5099E+02  0.1382E+03
  -5.360  0.7948E+02  0.1406E+03
  -5.330  0.7295E+02  0.1428E+03
  -5.300  0.9827E+02  0.1457E+03
  -5.270  0.8274E+02  0.1482E+03
  -5.240  0.1763E+03  0.1535E+03
  -5.210  0.1779E+03  0.1588E+03
  -5.180  0.5450E+02  0.1605E+03
  -5.150  0.4320E+02  0.1618E+03
  -5.120  0.1387E+03  0.1659E+03
  -5.090  0.1044E+03  0.1691E+03
  -5.060  0.3529E+02  0.1701E+03
  -5.030  0.5675E+02  0.1718E+03
  -5.000  0.2142E+02  0.1725E+03
  -4.970  0.1103E+01  0.1725E+03
  -4.940  0.7697E-02  0.1725E+03
  -4.910  0.7279E-05  0.1725E+03
  -4.880  0.1203E-08  0.1725E+03
  -4.850  0.2688E-05  0.1725E+03
  -4.820  0.3630E-02  0.1725E+03
  -4.790  0.6649E+00  0.1725E+03
  -4.760  0.1655E+02  0.1730E+03
  -4.730  0.5824E+02  0.1748E+03
  -4.700  0.5696E+02  0.1765E+03
  -4.670  0.5493E+02  0.1781E+03
  -4.640  0.1228E+02  0.1785E+03
  -4.610  0.3824E+00  0.1785E+03
  -4.580  0.2032E-01  0.1785E+03
  -4.550  0.1530E+01  0.1785E+03
  -4.520  0.1705E+02  0.1791E+03
  -4.490  0.2589E+02  0.1798E+03
  -4.460  0.5480E+01  0.1800E+03
  -4.430  0.5011E+01  0.1802E+03
  -4.400  0.2803E+02  0.1810E+03
  -4.370  0.5781E+02  0.1827E+03
  -4.340  0.1144E+03  0.1862E+03
  -4.310  0.1380E+03  0.1903E+03
  -4.280  0.2576E+03  0.1980E+03
  -4.250  0.1927E+03  0.2038E+03
  -4.220  0.1129E+03  0.2072E+03
  -4.190  0.1939E+03  0.2130E+03
  -4.160  0.1667E+03  0.2180E+03
  -4.130  0.5419E+02  0.2196E+03
  -4.100  0.1051E+03  0.2228E+03
  -4.070  0.6758E+02  0.2248E+03
  -4.040  0.5944E+01  0.2250E+03
  -4.010  0.7082E-01  0.2250E+03
  -3.980  0.1480E-03  0.2250E+03
  -3.950  0.2116E-01  0.2250E+03
  -3.920  0.1977E+01  0.2251E+03
  -3.890  0.3194E+02  0.2260E+03
  -3.860  0.1166E+03  0.2295E+03
  -3.830  0.1183E+03  0.2331E+03
  -3.800  0.3016E+02  0.2340E+03
  -3.770  0.1467E+02  0.2344E+03
  -3.740  0.5434E+02  0.2360E+03
  -3.710  0.4151E+02  0.2373E+03
  -3.680  0.7272E+02  0.2395E+03
  -3.650  0.6376E+02  0.2414E+03
  -3.620  0.4705E+02  0.2428E+03
  -3.590  0.9977E+02  0.2458E+03
  -3.560  0.8744E+02  0.2484E+03
  -3.530  0.2611E+02  0.2492E+03
  -3.500  0.6168E+02  0.2510E+03
  -3.470  0.1208E+03  0.2547E+03
  -3.440  0.8896E+02  0.2573E+03
  -3.410  0.4560E+02  0.2587E+03
  -3.380  0.6487E+02  0.2607E+03
