#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species add_Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -2.70434352        0.07398304        0.00008984        0.07388379        0.00000942
       -2.69433351        0.21514025        0.00015692        0.21495806        0.00002527
       -2.68432350        0.21844013        0.00018575        0.21823093        0.00002346
       -2.67431349        0.28413617        0.00028615        0.28382161        0.00002842
       -2.66430348        0.44328428        0.00019371        0.44305039        0.00004018
       -2.65429347        0.45973781        0.00008100        0.45961789        0.00003893
       -2.64428346        0.28198678        0.00045346        0.28150918        0.00002414
       -2.63427345        0.10369092        0.00157543        0.10210791        0.00000758
       -2.62426344        0.10727250        0.00199751        0.10526817        0.00000682
       -2.61425343        0.12219164        0.00164171        0.12054074        0.00000919
       -2.60424342        0.09985532        0.00082735        0.09901876        0.00000921
       -2.59423341        0.15765591        0.00119862        0.15644342        0.00001386
       -2.58422340        0.20323536        0.00284289        0.20036930        0.00002317
       -2.57421339        0.10470628        0.00049250        0.10420285        0.00001094
       -2.56420338        0.12304689        0.00060200        0.12243177        0.00001312
       -2.55419337        0.14261342        0.00078467        0.14181289        0.00001586
       -2.54418336        0.16199885        0.00106468        0.16091638        0.00001779
       -2.53417335        0.98214107        0.00689816        0.97513794        0.00010496
       -2.52416334        0.10569443        0.00101127        0.10467120        0.00001196
       -2.51415333        0.17455660        0.00161525        0.17292245        0.00001890
       -2.50414332        0.14012616        0.00109812        0.13901124        0.00001679
       -2.49413331        0.21249951        0.00110360        0.21136788        0.00002804
       -2.48412330        0.25690119        0.00113468        0.25572955        0.00003695
       -2.47411329        0.09818987        0.00096603        0.09721485        0.00000899
       -2.46410328        0.10495330        0.00095371        0.10398994        0.00000965
       -2.45409327        0.11904144        0.00120986        0.11782016        0.00001142
       -2.44408326        0.11747788        0.00124748        0.11621810        0.00001229
       -2.43407325        0.08480243        0.00083085        0.08396342        0.00000816
       -2.42406324        0.07702422        0.00069647        0.07632044        0.00000731
       -2.41405323        0.13162274        0.00130613        0.13030232        0.00001430
       -2.40404322        0.07022509        0.00053415        0.06968342        0.00000752
       -2.39403321        0.20834088        0.00087088        0.20745124        0.00001876
       -2.38402320        0.06236744        0.00073501        0.06162520        0.00000722
       -2.37401319        0.11482085        0.00117102        0.11363860        0.00001124
       -2.36400318        0.03491658        0.00030399        0.03460819        0.00000440
       -2.35399317        0.02239923        0.00031781        0.02207904        0.00000237
       -2.34398316        0.15237622        0.00039390        0.15196962        0.00001270
       -2.33397315        0.11181269        0.00102389        0.11077914        0.00000966
       -2.32396314        0.14244759        0.00213382        0.14030192        0.00001185
       -2.31395313        0.15912868        0.00269330        0.15642159        0.00001379
       -2.30394312        0.17176375        0.00322114        0.16852707        0.00001554
       -2.29393311        0.18380592        0.00366326        0.18012552        0.00001714
       -2.28392310        0.19601055        0.00400159        0.19199033        0.00001863
       -2.27391309        0.06212629        0.00069265        0.06142923        0.00000441
       -2.26390308        0.07250342        0.00075301        0.07174495        0.00000546
       -2.25389307        0.08348463        0.00082796        0.08265006        0.00000661
       -2.24388306        0.09506991        0.00091749        0.09414456        0.00000785
       -2.23387305        0.13712823        0.00183681        0.13527986        0.00001155
       -2.22386304        0.16854524        0.00256139        0.16596964        0.00001421
       -2.21385303        0.15956954        0.00298637        0.15657082        0.00001235
       -2.20384302        0.16438430        0.00313501        0.16123676        0.00001253
       -2.19383301        0.15895686        0.00298533        0.15595961        0.00001192
       -2.18382300        0.14327441        0.00250776        0.14075614        0.00001051
       -2.17381299        0.13592767        0.00217467        0.13374326        0.00000973
       -2.16380298        0.15414531        0.00247344        0.15166094        0.00001094
       -2.15379297        0.14905386        0.00192465        0.14711824        0.00001097
       -2.14378296        0.16139878        0.00175981        0.15962700        0.00001196
       -2.13377295        0.17695778        0.00162615        0.17531857        0.00001305
       -2.12376294        0.19573086        0.00152367        0.19419296        0.00001424
       -2.11375293        0.14936227        0.00127245        0.14807850        0.00001132
       -2.10374292        0.13627009        0.00114217        0.13511749        0.00001042
       -2.09373291        0.12393335        0.00103282        0.12289113        0.00000939
       -2.08372290        0.17062792        0.00118294        0.16943309        0.00001189
       -2.07371289        0.16250524        0.00109202        0.16140205        0.00001118
       -2.06370288        0.15635579        0.00102646        0.15531878        0.00001054
       -2.05369287        0.16331720        0.00111045        0.16219648        0.00001027
       -2.04368286        0.16898808        0.00125406        0.16772365        0.00001037
       -2.03367285        0.19331351        0.00140423        0.19189744        0.00001185
       -2.02366284        0.21928410        0.00164393        0.21762768        0.00001249
       -2.01365283        0.19381047        0.00180977        0.19198959        0.00001111
       -2.00364282        0.18027637        0.00199676        0.17826931        0.00001030
       -1.99363281        0.17522516        0.00220480        0.17301056        0.00000980
       -1.98362280        0.17429555        0.00243075        0.17185525        0.00000954
       -1.97361279        0.17667886        0.00264801        0.17402135        0.00000949
       -1.96360278        0.40315850        0.00988921        0.39324741        0.00002188
       -1.95359277        0.18187282        0.00356268        0.17830193        0.00000821
       -1.94358276        0.15296002        0.00229828        0.15065405        0.00000769
       -1.93357275        0.14980308        0.00236878        0.14742688        0.00000743
       -1.92356274        0.18749068        0.00351059        0.18396686        0.00001323
       -1.91355273        0.39378398        0.00013146        0.39364298        0.00000954
       -1.90354272        0.03419117       -0.00004191        0.03423018        0.00000289
       -1.89353271        0.10002405        0.00021475        0.09980253        0.00000677
       -1.88352270        0.24584103        0.00108420        0.24474361        0.00001322
       -1.87351269        0.33665795        0.00198154        0.33465564        0.00002076
